Date,Open,High,Low,Close,Volume
12/30/2020,"19.38","20.00","18.85","19.26","5,934,391"
12/29/2020,"20.82","21.07","18.56","19.38","9,241,441"
12/28/2020,"21.31","21.97","20.35","20.99","8,965,858"
12/24/2020,"21.01","21.48","19.95","20.15","6,262,174"
12/23/2020,"20.17","22.35","19.13","20.57","25,830,260"
12/22/2020,"16.22","20.04","16.15","19.46","30,687,721"
12/21/2020,"15.81","16.35","15.28","15.53","9,876,128"
12/18/2020,"15.78","16.30","15.18","15.63","16,618,779"
12/17/2020,"13.96","14.98","13.59","14.83","8,194,902"
12/16/2020,"13.96","14.31","13.58","13.85","5,865,123"
12/15/2020,"12.78","14.02","12.48","13.85","8,192,856"
12/14/2020,"13.34","13.43","12.14","12.72","10,007,090"
12/11/2020,"13.91","14.00","13.02","13.31","7,496,868"
12/10/2020,"13.12","14.41","13.05","14.12","7,558,922"
12/09/2020,"13.92","14.73","13.23","13.66","24,357,939"
12/08/2020,"16.37","17.21","15.93","16.94","16,120,160"
12/07/2020,"17.00","17.50","16.22","16.35","7,386,258"
12/04/2020,"16.30","17.29","16.26","16.90","8,972,672"
12/03/2020,"16.48","16.64","15.87","16.12","6,294,965"
12/02/2020,"15.70","16.68","15.38","16.58","7,883,380"
12/01/2020,"17.11","17.40","15.76","15.80","12,666,030"
11/30/2020,"18.17","19.42","16.56","16.56","31,983,500"
11/27/2020,"15.29","16.74","14.88","16.08","12,504,200"
11/25/2020,"13.60","15.25","13.42","14.75","8,860,092"
