Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2/27/2019,AXISBANK,EQ,710.15,714.95,727.8,713.05,717,718.2,720.08,13284424,9.56583E+14,,,
2/28/2019,AXISBANK,EQ,718.2,723.45,723.45,706.4,709.55,709.55,710.06,26230891,1.86255E+15,,,
3/1/2019,AXISBANK,EQ,709.55,713.5,714.95,699.55,702.45,702.4,705.25,7713824,5.44021E+14,,,
3/5/2019,AXISBANK,EQ,702.4,705.7,733.9,700.7,733.85,732.05,719.06,11298428,8.12426E+14,,,
3/6/2019,AXISBANK,EQ,732.05,733.9,733.9,712.55,719.2,720.6,721.27,10510670,7.58098E+14,,,
3/7/2019,AXISBANK,EQ,720.6,720.75,739.45,720.75,734.25,733.75,730.16,11263734,8.22434E+14,,,
3/8/2019,AXISBANK,EQ,733.75,732,737.25,728.4,732.3,733.4,733.09,7744794,5.67765E+14,,,
3/11/2019,AXISBANK,EQ,733.4,733.3,744.9,730.6,736.6,734.5,738.39,9421608,6.95681E+14,,,
3/12/2019,AXISBANK,EQ,734.5,738.7,749,738.55,742.6,742.55,743.7,8131901,6.04767E+14,,,
3/13/2019,AXISBANK,EQ,742.55,743.6,751,736.5,738.25,738,742.61,12333789,9.15917E+14,,,
3/14/2019,AXISBANK,EQ,738,740,749.7,737.4,741.3,740.6,743.02,7100875,5.27607E+14,,,
3/15/2019,AXISBANK,EQ,740.6,742.95,748.95,731.7,736.5,735.1,739.7,14560368,1.07703E+15,,,
3/18/2019,AXISBANK,EQ,735.1,741,756,740.25,754.4,751.6,748.39,9823043,7.35145E+14,,,
3/19/2019,AXISBANK,EQ,751.6,755,763,749.05,761.2,760.9,755,8818172,6.65769E+14,,,
3/20/2019,AXISBANK,EQ,760.9,760.75,767,754.35,754.5,755.75,760.04,9758274,7.41665E+14,,,
3/22/2019,AXISBANK,EQ,755.75,764.7,765.9,735.55,760.5,757.05,761.25,10355078,7.88282E+14,,,
3/25/2019,AXISBANK,EQ,757.05,752.7,755,741.15,745.35,745.7,746.5,7130411,5.32286E+14,,,
3/26/2019,AXISBANK,EQ,745.7,747.4,760.95,741.65,760.7,757.1,748.08,7300104,5.46103E+14,,,
3/27/2019,AXISBANK,EQ,757.1,761.3,770,755.85,760.5,759.3,763.68,7456768,5.69456E+14,,,
